   q	          s
  5457.2	  1888.1
  2948.9	  2135.0
  6107.1	  2417.0
  3559.9	  2807.9
  8176.3	  3208.0
  6337.9	  3815.0
  8677.6	  4990.0
  6132.8	  5731.9
 11353.7	  6792.0
 14751.5	  8689.8
 17968.9	  9126.2
 24772.8	 11853.8
  3530.9	 16353.5
 27285.2	 16065.0
 43139.7	 17705.0
 23990.2	 19271.8
 34585.9	 19637.6
 54693.5	 22079.4
 45328.9	 26688.8
 62479.9	 30333.3
 73776.8	 34794.0
 71232.2	 39493.8
 91007.8	 45324.4
  5783.1	 49468.9
 96355.5	 43756.7
124455.1	 54333.7
129443.5	 58547.9
123130.5	 63373.4
132032.1	 66542.8
133479.1	 72933.3
178420.8	 81161.8
209609.2	 89733.5
192682.7	100901.5
223127.8	110691.2
254434.8	118836.0
318985.2	127529.1
165181.5	138593.4
377867.9	151236.5
414032.6	165379.8
361024.1	175536.1
432051.5	186838.5
162673.4	193261.6
132164.2	197086.9
482579.0	191587.5
266225.8	192702.0
224987.5	191376.9
436437.3	181570.6
498171.7	183102.2
524342.3	184868.5
514268.1	184462.2
292903.9	181316.6
206901.9	177282.5
417692.2	171304.9
455613.4	164604.4
438756.6	150798.5
150858.9	144249.5
375870.5	141068.4
301070.6	133252.4
372540.1	131334.1
397718.6	142600.2
470193.7	143601.9
381818.3	144697.4
465189.4	145306.4
343210.8	147104.7
273895.0	154693.3
595228.1	173598.4
272392.7	181606.9
611212.5	184001.6
716332.7	185999.6
746835.3	190498.6
789772.3	197106.6
854524.1	200907.5
750879.2	211102.7
867698.9	219300.9
591194.3	224403.3
767965.4	229693.2
670313.0	236806.8
1114036.0	246594.4
1227021.2	258590.2
933783.6	266199.2
914104.3	206405.9
518917.4	190403.4
770889.3	154106.6
695996.6	145306.4
834760.4	165893.3
826619.7	185498.1
741032.7	205191.7
990237.4	196300.1
938839.7	175202.9
867265.1	172594.5
594217.1	154199.1
598271.5	145001.6
726504.5	144900.1
521988.1	147104.7
852902.1	154693.3
815127.6	163898.1
832093.4	158292.5
708071.2	150001.4
763066.1	148895.5
779493.8	148197.3
789693.4	146297.9
724908.0	145103.1
722303.0	162202.4
350704.8	172594.5
950268.6	175799.6
852220.0	163194.8
792462.1	154801.7
801628.0	154307.1
759792.0	141704.6
739182.4	138496.5
729124.7	134901.5
642100.4	122002.9
579777.7	120198.5

