C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	IN
48.0 	39.4 	13026	91.5 	52.0 	52.3 	18.5 	3.1 	29505	51.6 	0.75 	-1 
47.7 	39.3 	12926	88.7 	48.0 	53.3 	23.7 	5.3 	28439	51.2 	0.71 	-1 
47.0 	39.2 	12961	86.6 	46.8 	54.0 	29.9 	9.8 	27373	52.8 	0.67 	0 
48.0 	40.1 	13152	90.0 	47.6 	53.9 	29.7 	9.3 	27841	54.0 	0.68 	1 
48.0 	40.1 	13032	89.6 	47.3 	52.0 	25.3 	5.1 	28308	53.4 	0.63 	1 
48.6 	40.5 	13398	91.0 	49.8 	52.6 	21.9 	6.7 	28776	54.1 	0.59 	1 
49.0 	41.8 	13516	91.4 	52.6 	52.6 	19.7 	6.6 	29435	55.2 	0.56 	1 
49.0 	41.4 	13607	90.9 	54.3 	52.8 	18.8 	6.0 	30095	54.2 	0.55 	1 
49.5 	42.1 	14042	92.3 	55.6 	53.2 	10.2 	7.2 	30754	54.9 	0.55 	1 
49.6 	42.2 	13801	91.5 	56.5 	52.9 	16.4 	8.9 	31416	56.3 	0.55 	1 
48.8 	42.1 	13519	89.6 	57.7 	52.4 	11.6 	5.8 	32078	55.4 	0.55 	1 
49.8 	43.5 	13853	91.0 	59.4 	52.5 	9.1 	10.3 	32740	57.4 	0.55 	1 
50.6 	43.6 	13832	93.9 	60.0 	53.4 	10.6 	13.1 	33617	57.7 	0.58 	1 
51.9 	45.1 	14162	96.2 	63.7 	56.1 	12.2 	14.4 	34494	59.8 	0.61 	1 
52.7 	46.1 	14299	97.2 	65.9 	55.8 	4.4 	21.1 	35371	62.6 	0.63 	1 
53.5 	46.2 	14326	98.5 	66.3 	55.7 	3.9 	16.2 	35816	62.3 	0.65 	1 
53.2 	45.8 	14472	96.8 	68.7 	56.2 	5.1 	13.8 	36261	62.5 	0.64 	1 
54.3 	47.3 	14624	98.0 	69.6 	56.7 	5.5 	16.6 	36706	64.1 	0.66 	1 
54.7 	47.0 	14727	99.0 	70.7 	58.0 	4.6 	16.0 	37705	65.3 	0.67 	1 
54.9 	47.1 	15021	98.8 	71.2 	57.6 	6.3 	15.1 	38703	66.0 	0.67 	1 
54.8 	47.0 	14761	98.7 	71.7 	57.6 	5.9 	10.4 	39702	66.3 	0.66 	1 
54.8 	46.6 	14881	97.6 	72.8 	58.4 	6.6 	12.3 	39639	66.1 	0.64 	1 
55.6 	47.3 	14969	99.2 	73.7 	59.6 	8.8 	15.8 	39576	67.0 	0.64 	1 
55.9 	46.9 	15014	99.3 	72.9 	61.1 	7.8 	10.4 	39513	66.8 	0.62 	1 
56.3 	47.8 	15092	99.1 	73.2 	60.6 	12.4 	9.4 	39194	68.1 	0.61 	0 
55.5 	47.1 	14998	98.4 	73.9 	59.7 	8.4 	8.2 	38876	66.2 	0.60 	-1 
56.3 	47.4 	14934	98.7 	73.8 	59.5 	13.0 	5.5 	38557	68.0 	0.60 	-1 
56.1 	46.6 	14952	97.8 	73.8 	60.1 	14.7 	7.7 	38411	68.6 	0.61 	-1 
55.8 	46.5 	14850	97.7 	73.2 	59.3 	11.8 	5.9 	38265	67.2 	0.56 	-1 
56.2 	46.6 	14772	96.4 	73.1 	58.9 	10.7 	3.3 	38119	67.3 	0.54 	-1 
55.1 	46.1 	14788	95.6 	72.0 	57.2 	14.1 	1.2 	37878	65.8 	0.53 	-1 
56.3 	46.9 	14808	96.2 	71.7 	60.6 	13.2 	3.4 	37637	67.0 	0.53 	-1 
56.3 	46.5 	14865	95.9 	71.9 	60.5 	11.9 	3.9 	37396	67.7 	0.53 	-1 
55.9 	46.1 	14766	95.0 	72.5 	61.1 	10.1 	1.1 	37635	66.5 	0.53 	0 
57.0 	47.0 	14817	96.7 	73.2 	62.2 	7.4 	2.9 	37874	67.8 	0.52 	1 
57.4 	47.6 	14693	97.6 	74.4 	62.9 	8.3 	3.5 	38113	67.0 	0.52 	1 
58.0 	47.7 	14624	98.4 	73.7 	63.1 	6.7 	3.1 	38771	69.9 	0.51 	1 
57.5 	47.6 	14636	97.8 	73.9 	62.3 	8.3 	4.5 	39428	69.8 	0.53 	1 
58.9 	47.9 	14685	99.3 	74.9 	65.6 	8.6 	6.8 	40086	71.3 	0.54 	1 
58.9 	48.1 	14725	99.0 	76.0 	65.7 	9.8 	3.1 	40302	70.6 	0.57 	1 
59.1 	48.5 	14826	100.1 	75.1 	64.5 	9.1 	7.5 	40517	71.4 	0.54 	1 
59.3 	49.0 	14782	99.9 	75.1 	66.0 	11.2 	6.4 	40733	71.6 	0.54 	1 
59.7 	49.2 	15139	100.2 	76.2 	66.1 	9.7 	6.2 	41230	71.8 	0.56 	1 
60.5 	49.9 	15337	101.5 	77.2 	66.4 	5.2 	5.0 	41727	72.6 	0.57 	1 
61.0 	50.3 	15039	102.2 	78.4 	68.0 	10.2 	4.4 	42224	72.8 	0.59 	1 
61.1 	50.4 	15066	102.4 	78.1 	66.9 	8.9 	8.6 	43964	72.6 	0.59 	1 
61.3 	50.8 	15069	103.0 	80.2 	67.8 	10.1 	6.0 	45703	73.3 	0.60 	1 
61.9 	51.1 	15257	104.0 	80.4 	69.2 	8.0 	5.5 	47443	73.3 	0.60 	1 
61.8 	51.1 	15230	104.2 	81.8 	70.5 	13.3 	7.9 	48001	74.2 	0.62 	1 
61.7 	51.1 	15235	103.3 	82.6 	69.6 	10.1 	6.6 	48558	74.5 	0.63 	1 
62.3 	51.9 	15367	104.2 	82.3 	70.5 	7.8 	2.6 	49116	76.4 	0.66 	1 
62.5 	51.9 	15423	104.3 	85.7 	70.0 	6.8 	8.7 	51638	76.5 	0.70 	1 
63.9 	53.0 	15640	106.0 	87.1 	71.7 	9.9 	11.2 	54160	79.1 	0.69 	1 
64.1 	52.5 	15741	106.6 	87.4 	71.0 	8.7 	11.3 	56682	80.8 	0.71 	1 
64.6 	53.4 	15818	107.4 	88.0 	72.5 	9.5 	13.6 	58058	82.0 	0.72 	1 
65.7 	54.0 	16046	108.7 	87.9 	73.1 	13.3 	13.7 	59434	83.3 	0.73 	1 
64.4 	53.0 	16161	106.6 	89.0 	70.4 	13.3 	14.2 	60810	82.7 	0.75 	1 
65.7 	53.8 	16251	108.7 	89.8 	73.2 	11.7 	16.1 	61393	84.9 	0.77 	1 
66.5 	54.2 	16354	109.6 	90.5 	74.8 	16.1 	19.3 	61976	85.5 	0.78 	1 
66.3 	54.5 	16396	109.6 	92.5 	73.0 	14.1 	22.6 	62559	86.7 	0.79 	1 
66.8 	55.1 	16492	108.9 	92.1 	72.8 	16.2 	28.2 	63677	88.6 	0.77 	1 
69.4 	56.8 	16589	112.0 	94.3 	76.1 	21.2 	32.5 	64794	93.1 	0.76 	0 
67.5 	55.1 	16822	108.3 	95.0 	74.5 	16.4 	28.0 	65912	91.0 	0.77 	-1 
68.6 	55.7 	16476	110.4 	94.8 	74.0 	18.9 	30.7 	67411	94.1 	0.77 	-1 
68.1 	55.0 	16347	108.8 	95.8 	74.2 	15.1 	24.7 	68910	93.7 	0.76 	-1 
67.5 	53.8 	16238	107.4 	94.6 	73.5 	11.5 	19.7 	70409	91.8 	0.77 	-1 
67.4 	52.6 	15869	106.4 	93.9 	72.7 	8.2 	18.3 	68863	91.5 	0.76 	-1 
65.4 	50.8 	15505	103.8 	93.7 	70.7 	6.8 	15.3 	67318	89.0 	0.74 	-1 
66.4 	51.6 	15712	104.6 	92.1 	72.9 	6.9 	20.5 	65772	89.9 	0.73 	-1 
66.8 	52.2 	15729	104.4 	90.4 	72.4 	8.0 	14.2 	65125	90.9 	0.73 	-1 
65.9 	52.0 	15585	102.7 	89.6 	71.5 	5.0 	6.9 	64478	89.9 	0.71 	-1 
66.8 	52.1 	15513	103.0 	89.7 	71.8 	5.8 	8.8 	63831	90.8 	0.70 	-1 
66.9 	52.2 	15468	102.4 	91.0 	72.1 	6.7 	3.7 	63150	90.5 	0.69 	-1 
66.7 	51.9 	15442	102.3 	90.5 	71.6 	2.2 	-1.6 	62468	89.4 	0.68 	-1 
66.9 	51.9 	15496	102.3 	89.8 	71.1 	6.5 	7.3 	61787	89.3 	0.67 	-1 
66.9 	52.5 	15425	102.5 	90.6 	72.5 	3.9 	0.1 	61298	89.7 	0.67 	-1 
65.9 	51.3 	15362	99.7 	90.5 	71.5 	3.0 	-0.7 	60810	87.7 	0.67 	-1 
67.7 	52.3 	15465	101.7 	90.9 	73.2 	5.8 	6.0 	60321	90.3 	0.68 	-1 
68.1 	52.9 	15646	101.8 	90.3 	74.4 	8.8 	7.5 	61351	91.5 	0.70 	-1 
67.9 	52.5 	15612	101.0 	90.9 	73.7 	7.1 	7.2 	62382	91.5 	0.69 	-1 
69.0 	53.5 	15577	102.2 	92.3 	74.1 	6.3 	10.4 	63412	93.3 	0.68 	-1 
69.5 	53.5 	15648	102.7 	94.4 	74.3 	6.3 	8.8 	64388	92.5 	0.67 	-1 
69.5 	53.3 	15739	102.3 	93.2 	74.7 	5.8 	14.0 	65364	92.2 	0.66 	-1 
69.3 	53.0 	15792	101.4 	93.7 	74.8 	6.8 	9.7 	66340	92.2 	0.67 	-1 
68.8 	52.6 	15730	101.5 	94.0 	74.0 	4.1 	9.2 	66011	91.1 	0.66 	-1 
68.3 	52.3 	15742	100.2 	91.1 	73.2 	3.0 	11.7 	65683	90.5 	0.65 	-1 
69.0 	52.5 	15611	100.9 	90.3 	73.5 	2.7 	13.8 	65354	91.6 	0.63 	-1 
68.0 	52.0 	15761	99.1 	88.5 	71.3 	1.2 	9.7 	64186	90.0 	0.62 	-1 
67.5 	51.3 	15762	98.3 	87.5 	71.7 	4.4 	8.8 	63019	89.6 	0.60 	-1 
68.3 	52.2 	15640	98.4 	87.2 	73.1 	2.7 	7.5 	61851	91.3 	0.60 	-1 
68.1 	51.6 	15307	98.5 	87.3 	72.6 	-0.3 	5.7 	61417	90.3 	0.60 	-1 
68.2 	51.7 	15388	98.4 	86.9 	73.4 	2.5 	7.1 	60982	90.7 	0.60 	-1 
68.5 	52.2 	15410	99.0 	86.2 	75.4 	2.6 	6.7 	60548	91.5 	0.60 	-1 
66.5 	50.9 	15496	96.2 	85.8 	71.7 	3.1 	4.2 	59901	90.0 	0.60 	-1 
68.2 	51.4 	15511	97.8 	85.6 	74.2 	4.0 	4.9 	59253	90.8 	0.59 	-1 
67.6 	51.1 	15475	97.2 	84.5 	75.0 	1.8 	4.9 	58606	89.3 	0.59 	-1 
67.9 	51.6 	15511	97.7 	85.1 	72.5 	4.2 	1.7 	58647	90.2 	0.59 	-1 
67.7 	51.5 	15531	96.3 	85.6 	73.6 	3.4 	1.0 	58687	89.1 	0.59 	0 
68.6 	52.6 	15549	99.4 	86.7 	73.1 	2.2 	-0.6 	58728	90.0 	0.59 	1 
68.7 	53.2 	15529	98.2 	87.4 	72.2 	4.8 	-2.0 	59581	90.5 	0.59 	1 
68.9 	53.8 	15564	98.3 	87.5 	72.2 	2.6 	0.7 	60433	90.9 	0.59 	1 
69.8 	54.8 	15644	99.3 	90.0 	72.9 	1.2 	-1.3 	61286	91.7 	0.59 	1 
69.5 	54.8 	15624	99.5 	92.0 	71.2 	5.1 	-3.9 	62395	90.5 	0.59 	1 
70.9 	56.7 	15799	100.6 	93.6 	73.9 	5.7 	0.7 	63504	94.2 	0.60 	1 
72.2 	57.1 	15978	102.2 	94.7 	72.6 	2.8 	-0.6 	64613	93.9 	0.61 	1 
71.7 	57.6 	16025	101.8 	95.9 	74.2 	4.0 	-1.6 	65755	93.3 	0.62 	1 
72.4 	58.4 	16092	103.1 	97.4 	74.0 	2.6 	-2.8 	66896	94.2 	0.62 	1 
73.3 	59.2 	16111	105.0 	97.8 	73.7 	1.7 	-1.2 	68038	94.9 	0.63 	1 
73.7 	59.6 	16255	104.2 	97.6 	76.7 	0.2 	-0.5 	69272	95.9 	0.64 	1 
75.5 	60.9 	16292	106.6 	99.8 	75.1 	3.9 	2.7 	70505	97.6 	0.64 	1 
75.0 	61.0 	16452	105.1 	102.9 	75.4 	4.9 	2.7 	71739	97.6 	0.64 	1 
74.9 	60.5 	16322	105.1 	101.3 	77.8 	2.8 	2.7 	71287	97.0 	0.64 	1 
76.4 	61.7 	16523	106.6 	102.4 	78.1 	3.3 	2.4 	70836	98.1 	0.64 	1 
76.7 	62.0 	16615	106.6 	102.0 	77.5 	1.8 	2.7 	70384	98.5 	0.64 	1 
76.6 	62.2 	16725	105.4 	101.5 	78.1 	3.0 	8.5 	70773	98.4 	0.65 	1 
77.8 	63.0 	16785	106.6 	101.7 	77.9 	0.0 	3.9 	71162	99.4 	0.65 	1 
76.9 	62.8 	16549	104.8 	102.5 	77.5 	2.8 	3.6 	71551	97.6 	0.66 	1 
79.2 	63.5 	16742	106.8 	103.3 	80.8 	0.3 	4.5 	71758	100.5 	0.66 	1 
79.1 	64.1 	16763	107.7 	103.1 	79.7 	0.9 	3.8 	71966	101.2 	0.66 	1 
78.6 	63.6 	16857	106.4 	104.1 	79.3 	3.9 	2.9 	72173	100.3 	0.67 	1 
79.3 	63.7 	16784	106.2 	102.9 	80.3 	5.5 	5.4 	72897	100.6 	0.68 	1 
79.3 	63.0 	16849	106.6 	104.0 	81.1 	0.9 	3.2 	73622	100.4 	0.69 	1 
78.6 	63.1 	16845	105.8 	103.5 	80.2 	2.6 	5.5 	74346	99.0 	0.68 	1 
79.8 	63.5 	16959	107.4 	105.9 	81.3 	1.1 	3.1 	74069	100.6 	0.69 	1 
80.7 	63.7 	17011	106.7 	104.5 	82.7 	2.0 	2.3 	73791	101.2 	0.69 	1 
79.3 	62.4 	16959	105.4 	104.7 	80.8 	3.7 	2.0 	73514	99.7 	0.69 	0 
80.5 	62.9 	17075	106.9 	104.0 	83.1 	5.4 	2.1 	72875	100.4 	0.69 	-1 
79.7 	62.0 	17076	106.8 	102.0 	82.7 	4.9 	2.1 	72235	99.4 	0.68 	-1 
78.9 	61.7 	16977	105.5 	101.4 	82.5 	2.9 	5.1 	71596	99.0 	0.68 	-1 
79.8 	62.0 	16947	106.5 	101.3 	82.5 	4.9 	3.8 	70685	98.5 	0.67 	-1 
79.7 	61.6 	16844	105.1 	101.4 	85.0 	3.5 	2.2 	69773	98.4 	0.67 	-1 
79.6 	61.2 	16836	104.6 	98.8 	83.1 	5.2 	0.8 	68862	97.6 	0.67 	-1 
79.6 	62.2 	16860	105.1 	100.6 	82.3 	2.9 	0.3 	67839	97.5 	0.67 	-1 
79.5 	62.2 	16985	103.8 	100.5 	81.9 	3.8 	-3.4 	66816	96.8 	0.66 	-1 
79.4 	61.7 	16710	103.6 	99.7 	83.6 	2.9 	-2.6 	65793	96.3 	0.65 	-1 
79.4 	62.3 	16634	102.7 	98.7 	82.2 	5.5 	-2.8 	65955	96.3 	0.63 	-1 
79.3 	62.3 	16385	102.0 	96.9 	82.2 	1.7 	-5.9 	66116	95.6 	0.62 	-1 
79.7 	62.6 	16465	101.5 	95.1 	83.8 	2.6 	-5.7 	66278	95.2 	0.60 	-1 
79.8 	62.8 	16072	101.6 	94.5 	82.1 	-0.1 	-7.6 	65754	95.3 	0.60 	-1 
77.7 	61.6 	15987	99.3 	94.2 	82.2 	3.0 	-8.9 	65229	92.6 	0.61 	-1 
80.5 	63.3 	16048	100.3 	92.3 	84.4 	1.5 	-4.9 	64705	95.5 	0.61 	-1 
79.3 	63.0 	15919	99.3 	91.0 	82.0 	1.5 	-4.6 	66452	95.3 	0.61 	-1 
78.2 	62.3 	15969	97.1 	89.9 	82.7 	0.4 	-5.3 	68198	93.8 	0.61 	0 
80.3 	63.0 	15820	99.8 	89.2 	85.4 	-0.6 	-4.9 	69945	95.2 	0.61 	1 
79.7 	63.0 	16055	99.5 	90.0 	84.7 	3.9 	-7.9 	69466	94.9 	0.62 	1 
79.5 	63.1 	16054	99.4 	89.7 	86.1 	2.6 	-4.6 	68987	94.0 	0.63 	1 
80.7 	64.0 	16168	101.4 	90.5 	86.2 	2.3 	0.3 	68508	95.2 	0.64 	1 
79.8 	63.5 	16272	99.5 	92.0 	86.2 	3.3 	0.5 	71440	94.3 	0.64 	1 
78.6 	63.2 	16415	97.8 	93.8 	85.0 	6.7 	-0.2 	74372	92.2 	0.65 	1 
81.5 	65.4 	16470	100.2 	95.3 	87.2 	5.6 	3.5 	77304	95.7 	0.66 	1 
82.2 	65.8 	16544	100.6 	97.2 	90.3 	5.5 	5.5 	79268	97.0 	0.68 	1 
82.6 	66.5 	16591	101.0 	101.6 	88.9 	4.4 	5.8 	81233	97.2 	0.71 	1 
83.8 	67.6 	16660	102.8 	102.9 	90.1 	7.9 	7.3 	83197	98.6 	0.74 	1 
85.1 	68.5 	16820	103.6 	104.4 	92.6 	5.5 	7.6 	85337	99.3 	0.77 	1 
85.5 	68.8 	16814	104.6 	105.8 	94.0 	7.7 	5.3 	87477	99.8 	0.81 	1 
86.4 	68.9 	16947	105.7 	107.2 	93.5 	7.4 	5.9 	89617	100.6 	0.84 	1 
87.0 	69.4 	17070	105.0 	109.4 	97.9 	4.1 	7.7 	90878	100.8 	0.87 	1 
89.5 	71.6 	17224	108.3 	109.7 	99.4 	9.4 	11.6 	92138	103.3 	0.90 	1 
87.7 	70.2 	17313	105.9 	109.4 	94.9 	7.1 	11.1 	93399	100.7 	0.92 	1 
90.0 	71.6 	17302	106.8 	109.2 	102.5 	4.6 	10.5 	95667	105.1 	0.95 	1 
89.2 	71.0 	17439	106.4 	110.0 	99.0 	4.3 	9.1 	97935	102.4 	0.98 	1 
89.3 	71.6 	17554	106.6 	111.0 	98.9 	6.3 	9.7 	100203	102.9 	1.01 	1 
89.7 	72.1 	17824	107.4 	112.2 	100.6 	6.4 	6.3 	100863	103.5 	1.04 	1 
90.2 	72.8 	17982	106.6 	113.0 	102.6 	3.9 	9.8 	101523	104.8 	1.06 	1 
91.7 	73.2 	18107	108.7 	113.1 	102.0 	3.5 	7.6 	102183	105.8 	1.08 	1 
90.4 	73.2 	18186	106.1 	113.6 	103.8 	5.5 	5.8 	103259	104.6 	1.10 	1 
92.2 	74.3 	18389	108.7 	113.3 	104.2 	5.8 	9.3 	104334	105.6 	1.12 	1 
93.0 	75.3 	18527	109.6 	114.2 	104.3 	4.9 	8.5 	105410	106.7 	1.14 	1 
94.0 	75.1 	18573	109.7 	112.8 	105.1 	3.8 	7.8 	111031	107.2 	1.15 	1 
93.3 	74.9 	18500	107.7 	113.9 	104.6 	1.6 	6.7 	116652	107.4 	1.17 	1 
96.7 	77.7 	18815	110.7 	115.1 	109.6 	11.8 	17.2 	122273	113.1 	1.17 	1 
95.1 	76.4 	19114	109.8 	115.8 	107.2 	3.0 	3.8 	114277	110.7 	1.19 	1 
95.0 	76.5 	18973	109.5 	114.7 	107.9 	5.4 	6.9 	106280	110.8 	1.25 	1 
96.4 	77.4 	19010	111.9 	115.0 	108.5 	4.6 	9.9 	98284	112.7 	1.27 	1 
94.2 	76.0 	19102	107.7 	114.3 	106.8 	6.6 	7.8 	103886	110.8 	1.30 	1 
96.1 	76.7 	19375	109.8 	111.2 	109.9 	6.5 	7.7 	109489	112.5 	1.29 	1 
95.5 	76.7 	19349	109.3 	112.4 	108.8 	6.8 	9.2 	115091	112.9 	1.30 	1 
94.9 	75.7 	19375	108.1 	110.4 	108.0 	8.4 	6.7 	116032	111.0 	1.31 	1 
95.8 	76.6 	19549	108.4 	113.1 	109.5 	7.3 	8.0 	116973	112.8 	1.33 	1 
96.2 	77.4 	19693	108.9 	113.5 	110.7 	8.6 	9.7 	117914	113.7 	1.33 	1 
95.3 	76.5 	19658	107.5 	113.9 	111.3 	10.8 	8.1 	115962	112.9 	1.33 	1 
96.2 	77.3 	19624	109.2 	113.6 	111.6 	10.2 	7.6 	114009	113.1 	1.36 	1 
98.0 	78.5 	19718	110.3 	114.5 	112.2 	4.0 	2.3 	112057	116.0 	1.36 	1 
98.0 	78.7 	19956	110.1 	114.6 	112.5 	11.9 	13.3 	115400	115.4 	1.35 	1 
98.7 	79.6 	20155	111.1 	115.5 	113.1 	8.8 	14.6 	118742	117.0 	1.39 	1 
98.9 	79.3 	20390	110.2 	114.2 	116.1 	10.6 	11.2 	122085	117.0 	1.42 	1 
99.9 	80.0 	20455	110.4 	113.4 	116.0 	8.6 	13.1 	123978	117.8 	1.46 	1 
100.5 	80.9 	20614	111.8 	111.5 	113.8 	8.2 	9.7 	125870	118.4 	1.44 	1 
99.9 	80.6 	20601	110.2 	112.7 	113.6 	8.1 	10.0 	127763	118.3 	1.44 	1 
101.8 	82.1 	20721	111.9 	113.3 	116.4 	7.6 	12.8 	127715	120.8 	1.44 	1 
101.2 	81.4 	20556	111.1 	113.6 	115.4 	7.1 	10.4 	127666	120.1 	1.45 	1 
101.2 	81.4 	20800	111.3 	113.1 	116.3 	6.3 	11.7 	127618	120.2 	1.44 	1 
102.0 	82.2 	20913	111.5 	111.9 	115.8 	7.5 	12.8 	126506	121.8 	1.43 	1 
102.2 	82.4 	21160	111.1 	111.0 	116.1 	5.9 	10.2 	125395	121.8 	1.44 	0 
101.2 	82.1 	21120	109.1 	108.3 	115.7 	6.2 	6.4 	124283	121.2 	1.44 	-1 
