MT	A	W	t	NH
891	100	10	2	2
500	100	10	2	2
593	100	10	2	2
500	100	10	2	2
485	100	10	2	2
438	100	10	2	2
407	100	10	2	2
406	100	10	2	2
344	100	10	2	2
281	100	10	2	2
235	100	10	2	2
219	100	10	2	2
703	100	10	3	5
531	100	10	3	5
359	100	10	3	5
344	100	10	3	5
250	100	10	3	5
625	100	10	3	5
531	100	10	3	5
406	100	10	3	5
406	100	10	3	5
406	100	10	3	5
266	100	10	3	5
234	100	10	3	5
562	100	10	4	2
359	100	10	4	2
578	100	10	4	2
484	100	10	4	2
469	100	10	4	2
375	100	10	4	2
359	100	10	4	2
344	100	10	4	2
328	100	10	4	2
297	100	10	4	2
234	100	10	4	2
219	100	10	4	2
579	100	10	5	4
391	100	10	5	4
360	100	10	5	4
344	100	10	5	4
657	100	10	5	4
516	100	10	5	4
468	100	10	5	4
375	100	10	5	4
344	100	10	5	4
281	100	10	5	4
281	100	10	5	4
219	100	10	5	4
593	100	10	6	2
328	100	10	6	2
562	100	10	6	2
500	100	10	6	2
484	100	10	6	2
375	100	10	6	2
359	100	10	6	2
344	100	10	6	2
266	100	10	6	2
250	100	10	6	2
219	100	10	6	2
219	100	10	6	2
563	100	10	7	4
406	100	10	7	4
359	100	10	7	4
281	100	10	7	4
610	100	10	7	4
500	100	10	7	4
454	100	10	7	4
344	100	10	7	4
328	100	10	7	4
281	100	10	7	4
234	100	10	7	4
234	100	10	7	4
344	100	10	8	1
531	100	10	8	1
515	100	10	8	1
515	100	10	8	1
485	100	10	8	1
360	100	10	8	1
359	100	10	8	1
313	100	10	8	1
250	100	10	8	1
250	100	10	8	1
203	100	10	8	1
203	100	10	8	1
594	100	10	9	7
547	100	10	9	7
547	100	10	9	7
453	100	10	9	7
343	100	10	9	7
266	100	10	9	7
235	100	10	9	7
469	100	10	9	7
343	100	10	9	7
312	100	10	9	7
297	100	10	9	7
265	100	10	9	7
468	100	10	10	2
313	100	10	10	2
625	100	10	10	2
531	100	10	10	2
