MT	A	W	t	NH
922	100	10	2	6
781	100	10	2	6
734	100	10	2	6
562	100	10	2	6
438	100	10	2	6
328	100	10	2	6
750	100	10	2	6
719	100	10	2	6
516	100	10	2	6
500	100	10	2	6
484	100	10	2	6
453	100	10	2	6
719	100	10	3	5
625	100	10	3	5
468	100	10	3	5
422	100	10	3	5
250	100	10	3	5
531	100	10	3	5
485	100	10	3	5
485	100	10	3	5
453	100	10	3	5
422	100	10	3	5
406	100	10	3	5
250	100	10	3	5
922	100	10	4	7
641	100	10	4	7
641	100	10	4	7
484	100	10	4	7
422	100	10	4	7
359	100	10	4	7
266	100	10	4	7
969	100	10	4	7
688	100	10	4	7
422	100	10	4	7
359	100	10	4	7
266	100	10	4	7
1125	100	10	5	6
547	100	10	5	6
531	100	10	5	6
515	100	10	5	6
485	100	10	5	6
453	100	10	5	6
625	100	10	5	6
578	100	10	5	6
516	100	10	5	6
484	100	10	5	6
265	100	10	5	6
265	100	10	5	6
671	100	10	6	2
640	100	10	6	2
1016	100	10	6	2
531	100	10	6	2
469	100	10	6	2
468	100	10	6	2
453	100	10	6	2
422	100	10	6	2
422	100	10	6	2
422	100	10	6	2
250	100	10	6	2
250	100	10	6	2
610	100	10	7	6
562	100	10	7	6
500	100	10	7	6
485	100	10	7	6
422	100	10	7	6
250	100	10	7	6
1281	100	10	7	6
594	100	10	7	6
516	100	10	7	6
453	100	10	7	6
406	100	10	7	6
219	100	10	7	6
625	100	10	8	6
484	100	10	8	6
453	100	10	8	6
437	100	10	8	6
406	100	10	8	6
281	100	10	8	6
688	100	10	8	6
516	100	10	8	6
422	100	10	8	6
390	100	10	8	6
234	100	10	8	6
188	100	10	8	6
609	100	10	9	7
516	100	10	9	7
516	100	10	9	7
469	100	10	9	7
438	100	10	9	7
344	100	10	9	7
235	100	10	9	7
844	100	10	9	7
687	100	10	9	7
454	100	10	9	7
391	100	10	9	7
250	100	10	9	7
594	100	10	10	7
531	100	10	10	7
500	100	10	10	7
406	100	10	10	7
359	100	10	10	7
328	100	10	10	7
250	100	10	10	7
656	100	10	10	7
546	100	10	10	7
406	100	10	10	7
391	100	10	10	7
219	100	10	10	7
547	100	10	11	4
531	100	10	11	4
328	100	10	11	4
281	100	10	11	4
531	100	10	11	4
500	100	10	11	4
500	100	10	11	4
484	100	10	11	4
391	100	10	11	4
391	100	10	11	4
359	100	10	11	4
235	100	10	11	4
547	100	10	12	5
484	100	10	12	5
438	100	10	12	5
407	100	10	12	5
250	100	10	12	5
594	100	10	12	5
484	100	10	12	5
407	100	10	12	5
406	100	10	12	5
406	100	10	12	5
390	100	10	12	5
250	100	10	12	5
1609	100	10	13	8
578	100	10	13	8
500	100	10	13	8
484	100	10	13	8
437	100	10	13	8
422	100	10	13	8
375	100	10	13	8
250	100	10	13	8
563	100	10	13	8
437	100	10	13	8
421	100	10	13	8
391	100	10	13	8
594	100	10	14	8
578	100	10	14	8
515	100	10	14	8
485	100	10	14	8
391	100	10	14	8
391	100	10	14	8
375	100	10	14	8
250	100	10	14	8
500	100	10	14	8
469	100	10	14	8
375	100	10	14	8
234	100	10	14	8
563	100	10	15	7
562	100	10	15	7
532	100	10	15	7
484	100	10	15	7
422	100	10	15	7
375	100	10	15	7
266	100	10	15	7
610	100	10	15	7
422	100	10	15	7
359	100	10	15	7
312	100	10	15	7
219	100	10	15	7
484	100	10	16	5
469	100	10	16	5
453	100	10	16	5
437	100	10	16	5
234	100	10	16	5
704	100	10	16	5
625	100	10	16	5
438	100	10	16	5
422	100	10	16	5
391	100	10	16	5
391	100	10	16	5
234	100	10	16	5
1359	100	10	17	7
671	100	10	17	7
609	100	10	17	7
453	100	10	17	7
437	100	10	17	7
422	100	10	17	7
235	100	10	17	7
1203	100	10	17	7
515	100	10	17	7
422	100	10	17	7
406	100	10	17	7
219	100	10	17	7
657	100	10	18	4
547	100	10	18	4
485	100	10	18	4
234	100	10	18	4
547	100	10	18	4
531	100	10	18	4
531	100	10	18	4
469	100	10	18	4
407	100	10	18	4
390	100	10	18	4
359	100	10	18	4
234	100	10	18	4
594	100	10	19	7
531	100	10	19	7
515	100	10	19	7
453	100	10	19	7
438	100	10	19	7
437	100	10	19	7
391	100	10	19	7
454	100	10	19	7
422	100	10	19	7
375	100	10	19	7
235	100	10	19	7
203	100	10	19	7
578	100	10	20	6
531	100	10	20	6
484	100	10	20	6
438	100	10	20	6
437	100	10	20	6
375	100	10	20	6
625	100	10	20	6
453	100	10	20	6
422	100	10	20	6
328	100	10	20	6
250	100	10	20	6
235	100	10	20	6
531	100	10	21	5
468	100	10	21	5
437	100	10	21	5
375	100	10	21	5
234	100	10	21	5
579	100	10	21	5
578	100	10	21	5
563	100	10	21	5
516	100	10	21	5
515	100	10	21	5
438	100	10	21	5
312	100	10	21	5
625	100	10	22	5
515	100	10	22	5
437	100	10	22	5
406	100	10	22	5
406	100	10	22	5
516	100	10	22	5
453	100	10	22	5
438	100	10	22	5
422	100	10	22	5
422	100	10	22	5
266	100	10	22	5
250	100	10	22	5
532	100	10	23	4
531	100	10	23	4
516	100	10	23	4
469	100	10	23	4
547	100	10	23	4
421	100	10	23	4
406	100	10	23	4
391	100	10	23	4
391	100	10	23	4
313	100	10	23	4
234	100	10	23	4
219	100	10	23	4
609	100	10	24	5
500	100	10	24	5
454	100	10	24	5
391	100	10	24	5
235	100	10	24	5
593	100	10	24	5
437	100	10	24	5
406	100	10	24	5
391	100	10	24	5
375	100	10	24	5
296	100	10	24	5
235	100	10	24	5
578	100	10	25	7
516	100	10	25	7
516	100	10	25	7
500	100	10	25	7
422	100	10	25	7
282	100	10	25	7
250	100	10	25	7
453	100	10	25	7
437	100	10	25	7
406	100	10	25	7
406	100	10	25	7
218	100	10	25	7
500	100	10	26	7
500	100	10	26	7
484	100	10	26	7
453	100	10	26	7
437	100	10	26	7
391	100	10	26	7
250	100	10	26	7
578	100	10	26	7
453	100	10	26	7
437	100	10	26	7
234	100	10	26	7
219	100	10	26	7
578	100	10	27	8
547	100	10	27	8
454	100	10	27	8
438	100	10	27	8
406	100	10	27	8
375	100	10	27	8
281	100	10	27	8
250	100	10	27	8
515	100	10	27	8
500	100	10	27	8
453	100	10	27	8
234	100	10	27	8
703	100	10	28	7
547	100	10	28	7
515	100	10	28	7
454	100	10	28	7
438	100	10	28	7
390	100	10	28	7
297	100	10	28	7
500	100	10	28	7
438	100	10	28	7
421	100	10	28	7
235	100	10	28	7
234	100	10	28	7
610	100	10	29	8
594	100	10	29	8
500	100	10	29	8
500	100	10	29	8
500	100	10	29	8
438	100	10	29	8
406	100	10	29	8
359	100	10	29	8
516	100	10	29	8
375	100	10	29	8
250	100	10	29	8
203	100	10	29	8
656	100	10	30	7
546	100	10	30	7
453	100	10	30	7
437	100	10	30	7
437	100	10	30	7
407	100	10	30	7
375	100	10	30	7
516	100	10	30	7
453	100	10	30	7
437	100	10	30	7
235	100	10	30	7
219	100	10	30	7
609	100	20	2	10
562	100	20	2	10
468	100	20	2	10
453	100	20	2	10
438	100	20	2	10
390	100	20	2	10
359	100	20	2	10
344	100	20	2	10
328	100	20	2	10
281	100	20	2	10
281	100	20	2	10
266	100	20	2	10
547	100	20	3	9
531	100	20	3	9
437	100	20	3	9
375	100	20	3	9
328	100	20	3	9
328	100	20	3	9
313	100	20	3	9
313	100	20	3	9
250	100	20	3	9
437	100	20	3	9
391	100	20	3	9
390	100	20	3	9
578	100	20	4	11
484	100	20	4	11
469	100	20	4	11
407	100	20	4	11
375	100	20	4	11
360	100	20	4	11
313	100	20	4	11
312	100	20	4	11
312	100	20	4	11
282	100	20	4	11
266	100	20	4	11
407	100	20	4	11
578	100	20	5	11
469	100	20	5	11
406	100	20	5	11
406	100	20	5	11
375	100	20	5	11
344	100	20	5	11
328	100	20	5	11
313	100	20	5	11
282	100	20	5	11
250	100	20	5	11
250	100	20	5	11
407	100	20	5	11
610	100	20	6	11
469	100	20	6	11
468	100	20	6	11
437	100	20	6	11
406	100	20	6	11
359	100	20	6	11
281	100	20	6	11
281	100	20	6	11
281	100	20	6	11
265	100	20	6	11
234	100	20	6	11
297	100	20	6	11
515	100	20	7	10
406	100	20	7	10
375	100	20	7	10
344	100	20	7	10
328	100	20	7	10
328	100	20	7	10
312	100	20	7	10
297	100	20	7	10
266	100	20	7	10
219	100	20	7	10
421	100	20	7	10
407	100	20	7	10
469	100	20	8	8
422	100	20	8	8
407	100	20	8	8
297	100	20	8	8
281	100	20	8	8
250	100	20	8	8
234	100	20	8	8
234	100	20	8	8
890	100	20	8	8
500	100	20	8	8
328	100	20	8	8
297	100	20	8	8
500	100	20	9	11
438	100	20	9	11
391	100	20	9	11
390	100	20	9	11
360	100	20	9	11
343	100	20	9	11
328	100	20	9	11
297	100	20	9	11
281	100	20	9	11
266	100	20	9	11
235	100	20	9	11
516	100	20	9	11
516	100	20	10	10
453	100	20	10	10
453	100	20	10	10
422	100	20	10	10
359	100	20	10	10
297	100	20	10	10
297	100	20	10	10
265	100	20	10	10
250	100	20	10	10
235	100	20	10	10
