MT	A	W	t	NH
641	100	10	2	5
531	100	10	2	5
406	100	10	2	5
391	100	10	2	5
359	100	10	2	5
609	100	10	2	5
609	100	10	2	5
563	100	10	2	5
531	100	10	2	5
485	100	10	2	5
453	100	10	2	5
453	100	10	2	5
609	100	10	3	6
563	100	10	3	6
469	100	10	3	6
438	100	10	3	6
313	100	10	3	6
312	100	10	3	6
625	100	10	3	6
578	100	10	3	6
516	100	10	3	6
407	100	10	3	6
391	100	10	3	6
218	100	10	3	6
578	100	10	4	6
532	100	10	4	6
515	100	10	4	6
484	100	10	4	6
453	100	10	4	6
265	100	10	4	6
1032	100	10	4	6
547	100	10	4	6
500	100	10	4	6
328	100	10	4	6
328	100	10	4	6
266	100	10	4	6
641	100	10	5	7
531	100	10	5	7
516	100	10	5	7
484	100	10	5	7
406	100	10	5	7
297	100	10	5	7
282	100	10	5	7
562	100	10	5	7
484	100	10	5	7
469	100	10	5	7
468	100	10	5	7
391	100	10	5	7
594	100	10	6	7
515	100	10	6	7
500	100	10	6	7
500	100	10	6	7
484	100	10	6	7
297	100	10	6	7
218	100	10	6	7
953	100	10	6	7
578	100	10	6	7
485	100	10	6	7
406	100	10	6	7
266	100	10	6	7
1390	100	10	7	7
640	100	10	7	7
532	100	10	7	7
484	100	10	7	7
438	100	10	7	7
437	100	10	7	7
375	100	10	7	7
610	100	10	7	7
516	100	10	7	7
485	100	10	7	7
265	100	10	7	7
250	100	10	7	7
625	100	10	8	4
484	100	10	8	4
282	100	10	8	4
281	100	10	8	4
687	100	10	8	4
563	100	10	8	4
562	100	10	8	4
531	100	10	8	4
500	100	10	8	4
469	100	10	8	4
391	100	10	8	4
266	100	10	8	4
609	100	10	9	7
531	100	10	9	7
500	100	10	9	7
454	100	10	9	7
390	100	10	9	7
328	100	10	9	7
265	100	10	9	7
1391	100	10	9	7
500	100	10	9	7
485	100	10	9	7
484	100	10	9	7
250	100	10	9	7
594	100	10	10	6
546	100	10	10	6
531	100	10	10	6
469	100	10	10	6
297	100	10	10	6
234	100	10	10	6
1000	100	10	10	6
500	100	10	10	6
485	100	10	10	6
469	100	10	10	6
375	100	10	10	6
266	100	10	10	6
828	100	10	11	4
609	100	10	11	4
422	100	10	11	4
328	100	10	11	4
1094	100	10	11	4
515	100	10	11	4
500	100	10	11	4
484	100	10	11	4
469	100	10	11	4
375	100	10	11	4
266	100	10	11	4
266	100	10	11	4
578	100	10	12	8
563	100	10	12	8
532	100	10	12	8
484	100	10	12	8
484	100	10	12	8
406	100	10	12	8
297	100	10	12	8
265	100	10	12	8
1079	100	10	12	8
516	100	10	12	8
359	100	10	12	8
265	100	10	12	8
593	100	10	13	8
578	100	10	13	8
515	100	10	13	8
500	100	10	13	8
484	100	10	13	8
375	100	10	13	8
328	100	10	13	8
250	100	10	13	8
484	100	10	13	8
407	100	10	13	8
235	100	10	13	8
187	100	10	13	8
969	100	10	14	5
594	100	10	14	5
485	100	10	14	5
485	100	10	14	5
485	100	10	14	5
532	100	10	14	5
485	100	10	14	5
485	100	10	14	5
437	100	10	14	5
266	100	10	14	5
266	100	10	14	5
250	100	10	14	5
547	100	10	15	8
546	100	10	15	8
500	100	10	15	8
484	100	10	15	8
453	100	10	15	8
437	100	10	15	8
421	100	10	15	8
234	100	10	15	8
468	100	10	15	8
438	100	10	15	8
344	100	10	15	8
234	100	10	15	8
516	100	10	16	6
469	100	10	16	6
469	100	10	16	6
453	100	10	16	6
407	100	10	16	6
234	100	10	16	6
516	100	10	16	6
515	100	10	16	6
500	100	10	16	6
484	100	10	16	6
281	100	10	16	6
250	100	10	16	6
594	100	10	17	8
547	100	10	17	8
515	100	10	17	8
500	100	10	17	8
453	100	10	17	8
453	100	10	17	8
437	100	10	17	8
312	100	10	17	8
484	100	10	17	8
453	100	10	17	8
250	100	10	17	8
235	100	10	17	8
516	100	10	18	5
500	100	10	18	5
500	100	10	18	5
469	100	10	18	5
218	100	10	18	5
563	100	10	18	5
531	100	10	18	5
485	100	10	18	5
469	100	10	18	5
406	100	10	18	5
297	100	10	18	5
250	100	10	18	5
578	100	10	19	8
485	100	10	19	8
469	100	10	19	8
453	100	10	19	8
391	100	10	19	8
375	100	10	19	8
313	100	10	19	8
219	100	10	19	8
516	100	10	19	8
469	100	10	19	8
437	100	10	19	8
235	100	10	19	8
500	100	10	20	6
500	100	10	20	6
500	100	10	20	6
453	100	10	20	6
390	100	10	20	6
266	100	10	20	6
500	100	10	20	6
438	100	10	20	6
437	100	10	20	6
422	100	10	20	6
281	100	10	20	6
219	100	10	20	6
547	100	10	21	8
500	100	10	21	8
484	100	10	21	8
469	100	10	21	8
438	100	10	21	8
406	100	10	21	8
328	100	10	21	8
250	100	10	21	8
516	100	10	21	8
484	100	10	21	8
484	100	10	21	8
265	100	10	21	8
531	100	10	22	7
516	100	10	22	7
516	100	10	22	7
484	100	10	22	7
453	100	10	22	7
437	100	10	22	7
422	100	10	22	7
516	100	10	22	7
453	100	10	22	7
297	100	10	22	7
234	100	10	22	7
219	100	10	22	7
469	100	10	23	5
453	100	10	23	5
437	100	10	23	5
421	100	10	23	5
234	100	10	23	5
532	100	10	23	5
531	100	10	23	5
454	100	10	23	5
422	100	10	23	5
390	100	10	23	5
297	100	10	23	5
266	100	10	23	5
546	100	10	24	4
531	100	10	24	4
219	100	10	24	4
187	100	10	24	4
625	100	10	24	4
500	100	10	24	4
500	100	10	24	4
453	100	10	24	4
438	100	10	24	4
422	100	10	24	4
391	100	10	24	4
281	100	10	24	4
531	100	10	25	9
516	100	10	25	9
469	100	10	25	9
453	100	10	25	9
406	100	10	25	9
391	100	10	25	9
313	100	10	25	9
297	100	10	25	9
234	100	10	25	9
671	100	10	25	9
469	100	10	25	9
469	100	10	25	9
563	100	10	26	6
516	100	10	26	6
422	100	10	26	6
422	100	10	26	6
422	100	10	26	6
234	100	10	26	6
563	100	10	26	6
562	100	10	26	6
500	100	10	26	6
469	100	10	26	6
265	100	10	26	6
235	100	10	26	6
